"zip_code","count"
"92123","3"
"84121","3"
"85012","3"
"23219","3"
"90230","3"
"75056","3"
"33760","3"
"07632","3"
"75019","3"
"10015","3"
"76262","3"
"75080","3"
"91320","3"
"10006","3"
"89128","3"
"97204","3"
"07666","3"
"33178","3"
"89109","3"
"37421","3"
"33609","3"
"35806","3"
"02111","3"
"01720","3"
"48105","3"
"89169","3"
"89701","3"
"33160","3"
"07677","3"
"43228","3"
"20037","3"
"84095","3"
"74103","3"
"77043","3"
"10591","3"
"73134","3"
"60069","3"
"91301","3"
"60018","3"
"80203","3"
"32826","3"
"75231","3"
"07042","3"
"92705","3"
"91302","3"
"08873","3"
"48377","3"
"48326","3"
"08512","3"
"10169","3"
"33027","3"
"91355","3"
"94502","3"
"27701","3"
"68102","3"
"77040","3"
"20878","3"
"90405","3"
"20171","3"
"27560","3"
"98109","3"
"28217","3"
"92081","3"
"53204","3"
"89448","3"
"94010","3"
"19703","3"
"90064","3"
"07059","3"
"95032","3"
"94949","3"
"50266","3"
"91436","3"
"19312","3"
"22030","3"
"08807","3"
"95050","3"
"33069","3"
"34236","3"
"08542","3"
"89451","3"
"94303","3"
"02215","3"
"10038","3"
"92111","3"
"06510","3"
"84109","3"
"66205","3"
"30341","3"
"94555","3"
"19808","3"
"06405","3"
"92011","3"
"90703","3"
"85251","3"
"91367","3"
"02135","3"
"10151","3"
"89113","3"
"91748","3"
"94040","3"
"75204","3"
"95113","3"
"75061","3"
"58078","3"
"77010","3"
"98011","3"
"20876","3"
"80027","3"
"98203","3"
"85027","3"
"77479","3"
"80127","3"
"89149","3"
"76051","3"
"75205","3"
"10020","3"
"06880","3"
"94402","3"
"46038","3"
"94710","3"
"10121","3"
"10152","3"
"02118","3"
"08902","3"
"60191","2"
"21202","2"
"07652","2"
"33913","2"
"54301","2"
"10285","2"
"07068","2"
"11021-3190","2"
"39157","2"
"64105","2"
"71203","2"
"30092","2"
"60532","2"
"43537","2"
"55102","2"
"89801","2"
"55403","2"
"39201","2"
"43015","2"
"11553","2"
"49525","2"
"78205","2"
"77032","2"
"01824","2"
"55113","2"
"33021","2"
"40202","2"
"43082","2"
"44117","2"
"12205","2"
"32810","2"
"60631","2"
"08830","2"
"55144-1000","2"
"53403","2"
"68508","2"
"77086","2"
"85020","2"
"87102-3289","2"
"44115","2"
"44103","2"
"33411","2"
"89014","2"
"48033","2"
"33701","2"
"77077","2"
"07073","2"
"01864","2"
"00918","2"
"46514","2"
"97124","2"
"03842","2"
"68154","2"
"33025","2"
"11803","2"
"90501","2"
"03062","2"
"94551","2"
"02134","2"
"98006","2"
"94568","2"
"30329","2"
"34994","2"
"75202","2"
"10173","2"
"08837","2"
"33133","2"
"74172","2"
"55347","2"
"29607","2"
"43085","2"
"84119","2"
"94901","2"
"20005","2"
"30342","2"
"49201","2"
"15701","2"
"91016","2"
"47546","2"
"94583","2"
"47708","2"
"80241","2"
"95973","2"
"07920","2"
"20147","2"
"30093","2"
"98402","2"
"01581","2"
"14586","2"
"53201","2"
"90012","2"
"80201-0328","2"
"30144","2"
"08054","2"
"01845","2"
"53208","2"
"22601","2"
"27609","2"
"92009","2"
"33496","2"
"75247","2"
"49503","2"
"15237","2"
"30318","2"
"06804","2"
"85008","2"
"02021","2"
"91362","2"
"10174","2"
"91107","2"
"94403-1906","2"
"98021","2"
"68022","2"
"55413","2"
"84116","2"
"48304","2"
"33020","2"
"22314","2"
"07647","2"
"01760","2"
"32224","2"
"07039","2"
"55343","2"
"40222","2"
"78759","2"
"10012","2"
"33409","2"
"11804","2"
"19803","2"
"01915","2"
"76011","2"
"34240","2"
"02043","2"
"01886","2"
"06810","2"
"21030","2"
"84070","2"
"77064","2"
"84403","2"
"82009","2"
"70816","2"
"27408","2"
"07660","2"
"57108","2"
