ownerOrg,period,count,component
Technology,1,1,zika_international
Trade & Services,0,3,zika_international
Trade & Services,1,1,zika_international
Crypto Assets,0,1,h5n1-avian_international
Energy & Transportation,0,2,h5n1-avian_international
Energy & Transportation,1,1,h5n1-avian_international
Industrial Applications and Services,0,5,h5n1-avian_international
Industrial Applications and Services,1,1,h5n1-avian_international
Life Sciences,0,14,h5n1-avian_international
Life Sciences,1,11,h5n1-avian_international
Manufacturing,0,3,h5n1-avian_international
Manufacturing,1,6,h5n1-avian_international
Real Estate & Construction,0,2,h5n1-avian_international
Real Estate & Construction,1,1,h5n1-avian_international
Technology,0,1,h5n1-avian_international
Technology,1,2,h5n1-avian_international
Trade & Services,0,2,h5n1-avian_international
Trade & Services,1,2,h5n1-avian_international
