accession_number,filename,file_date,file_type,cik
000109432802000022,fivegex231013102.txt,2002-01-31,EX-23.1,0001100748
000109432802000022,five5ex232013102.txt,2002-01-31,EX-23.2,0001100748
000110074802000005,subscript.htm,2002-01-10,EX-10,0001100748
000109432802000022,fivegex5013102.txt,2002-01-31,EX-5,0001100748
000114420402000028,doc1.txt,2002-01-25,SC 13G,0001164501
000114420402000028,doc1.txt,2002-01-25,SC 13G,0001100748
000109432802000022,fivegex41013102.txt,2002-01-31,EX-4.1,0001100748
000110074802000005,warrant.htm,2002-01-10,EX-10,0001100748
000109432802000022,fivegex42013102.txt,2002-01-31,EX-4.2,0001100748
000110074802000005,power.txt,2002-01-10,EX-24,0001100748
000110074802000005,amend1.htm,2002-01-10,EX-3,0001100748
000035534802000019,health_77c.txt,2002-01-29,EX-99.77C VOTES,0000352665
000035534802000019,financial_77c.txt,2002-01-29,EX-99.77C VOTES,0000352665
000035534802000019,tech_77c.txt,2002-01-29,EX-99.77C VOTES,0000352665
000110074802000005,finders.htm,2002-01-10,EX-10,0001100748
000035534802000019,utililty_77c.txt,2002-01-29,EX-99.77C VOTES,0000352665
000110074802000005,purchase.htm,2002-01-10,EX-10,0001100748
000109432802000022,fivegs8013102woex.txt,2002-01-31,S-8,0001100748
000110074802000005,registra.txt,2002-01-10,EX-10,0001100748
000095017202000067,s267862.txt,2002-01-10,EX-25,0000919008
000095017202000066,s267861.txt,2002-01-10,EX-25,0000919008
000095014402000623,g72297a1ex4-7.txt,2002-01-24,EX-4.7,0001051904
000104596902000108,dpres14a.txt,2002-01-30,PRES14A,0001002902
000095012302000355,x53561a1f-4a.txt,2002-01-15,F-4/A,0000897322
000095013002000477,ds4.txt,2002-01-30,S-4,0001164727
000109432802000042,fivegltr022502.txt,2002-02-26,RW,0001100748
000102189002000062,ev9200110k.htm,2002-02-19,10-K,0000844780
000095017202000170,s270635.txt,2002-02-01,EX-99,0000919008
000095015202001269,l92316an-30d.txt,2002-02-20,N-30D,0000763852
000104596902000288,ddefs14a.txt,2002-02-19,DEFS14A,0001002902
000095012302001043,x53561a2f-4a.txt,2002-02-08,F-4/A,0000897322
000095012302001710,x53561a4f-4a.txt,2002-02-19,F-4/A,0000897322
000095012302001620,x53561a3f-4a.txt,2002-02-14,F-4/A,0000897322
000095013002000609,d424b3.txt,2002-02-05,424B3,0001164727
000109432802000076,fiveg12b25032902.txt,2002-03-29,NT 10-K,0001100748
000109432802000052,fiveg23c031102.txt,2002-03-11,SC 13D,0001100748
000035534802000121,attach77c.txt,2002-03-25,EX-99.77C VOTES,0001052118
000108423002000004,pas10k_exh10-19.txt,2002-03-25,EX-10,0001084230
000095014402002529,g72297a2ex4-13.txt,2002-03-21,EX-4.13,0001051904
000095013402002880,d95370ex4-36.txt,2002-03-28,EX-4.36,0000722571
000101270902000437,pre14a2-302.txt,2002-03-12,PRES14A,0000920547
000101270902000437,proxy.pdf,2002-03-12,PRES14A,0000920547
000095015602000094,d57677_n1a.txt,2002-03-01,485APOS,0000916622
000089710102000145,fasf021048_n14.txt,2002-03-06,N-14,0001017927
000089710102000138,faif021047_n14.txt,2002-03-04,N-14,0000820892
000109432802000098,fiveg10ksb041702woex.txt,2002-04-18,10KSB,0001100748
000109432802000098,fivegex102041702.txt,2002-04-18,EX-10.2,0001100748
000109432802000098,fivegex108041702.txt,2002-04-18,EX-10.8,0001100748
000109432802000098,fivegex104041702.txt,2002-04-18,EX-10.4,0001100748
000109432802000098,fivegex1017041702.txt,2002-04-18,EX-10.17,0001100748
000109432802000090,lipman13d041102.txt,2002-04-11,SC 13D,0001100748
000109432802000086,fivegdixsch13d040202.txt,2002-04-02,SC 13D,0001100748
000109432802000085,fivegcorty13d040202.txt,2002-04-02,SC 13D,0001100748
000109432802000098,fivegex1014041702.txt,2002-04-18,EX-10.14,0001100748
000109432802000098,fivegex101041702.txt,2002-04-18,EX-10.1,0001100748
000109432802000098,fivegex1015041702.txt,2002-04-18,EX-10.15,0001100748
000109432802000098,fivegex103041702.txt,2002-04-18,EX-10.3,0001100748
000109432802000098,fivegex105041702.txt,2002-04-18,EX-10.5,0001100748
000109432802000098,fivegex106041702.txt,2002-04-18,EX-10.6,0001100748
000109432802000098,fivegex107041702.txt,2002-04-18,EX-10.7,0001100748
000109432802000098,fivegex1016041702.txt,2002-04-18,EX-10.16,0001100748
000101270902000533,proxy.pdf,2002-04-08,DEF 14A,0000920547
000109432802000098,fivegex1012041702.txt,2002-04-18,EX-10.12,0001100748
000109432802000098,fivegex1013041702.txt,2002-04-18,EX-10.13,0001100748
000095014402003265,g75138ex10-40.txt,2002-04-01,EX-10.40,0000906337
000109432802000098,fivegex24041702.txt,2002-04-18,EX-2.4,0001100748
000101270902000533,defs14a-402.txt,2002-04-08,DEF 14A,0000920547
000095016802000691,dex106.txt,2002-04-01,EX-10.6,0000899757
000082899302000008,aescu1360.htm,2002-04-30,U-13-60,0000828993
000095013702002200,c66649ex4-q.txt,2002-04-15,EX-4.Q,0000025095
000091205702013087,a2073121zex-10_25.txt,2002-04-01,EX-10.25,0000356801
000095013702002269,c68906a1ex10-26.txt,2002-04-18,EX-10.26,0000879526
000095013002002775,dex99i.txt,2002-04-19,EX-99.I,0000936839
000095013002002775,dex99i.txt,2002-04-19,EX-99.I,0000899849
000102123102000087,intertek20f.htm,2002-04-17,20-F,0001030557
000095015602000195,d576772.txt,2002-04-30,485BPOS,0000916622
000091412102000420,ba629670_exh-4.txt,2002-04-12,EX-4,0001168428
000091205702017399,a2073064z485bpos.txt,2002-04-30,485BPOS,0000894088
000109432802000132,fiveg10qsb051802.txt,2002-05-20,10QSB,0001100748
000109432802000121,fiveg12b25051502.txt,2002-05-15,NT 10-Q,0001100748
000109683502000016,accesspurchaseagreement.txt,2002-05-13,EX-10,0001096835
000092838502001868,dex99.txt,2002-05-08,EX-99,0001012967
000092838502001869,dex99.txt,2002-05-08,EX-99,0001142257
000092838502001869,dex99.txt,2002-05-08,EX-99,0001142258
000091205702021941,a2081050zex-2_1.txt,2002-05-24,EX-2.1,0001050504
000092838502001995,dex99.txt,2002-05-15,EX-99,0001012967
000092838502001996,dex99.txt,2002-05-15,EX-99,0001142257
000092838502001996,dex99.txt,2002-05-15,EX-99,0001142258
000091205702019988,a2074344zex-10_18.txt,2002-05-14,EX-10.18,0001172203
000091205702019988,a2074344zex-10_18.txt,2002-05-14,EX-10.18,0001172638
000091205702019988,a2074344zex-10_18.txt,2002-05-14,EX-10.18,0001169264
000091205702019988,a2074344zex-10_18.txt,2002-05-14,EX-10.18,0001169265
000091205702019988,a2074344zex-10_18.txt,2002-05-14,EX-10.18,0001172204
000089155402003160,d50630_ex10-15.txt,2002-05-15,EX-10.15,0001048982
000091205702019988,a2074344zex-10_19.txt,2002-05-14,EX-10.19,0001172203
000091205702019988,a2074344zex-10_19.txt,2002-05-14,EX-10.19,0001172638
000091205702019988,a2074344zex-10_19.txt,2002-05-14,EX-10.19,0001169264
000091205702019988,a2074344zex-10_19.txt,2002-05-14,EX-10.19,0001169265
000091205702019988,a2074344zex-10_19.txt,2002-05-14,EX-10.19,0001172204
000091205702019988,a2074344zex-10_17.txt,2002-05-14,EX-10.17,0001172203
000091205702019988,a2074344zex-10_17.txt,2002-05-14,EX-10.17,0001172638
000091205702019988,a2074344zex-10_17.txt,2002-05-14,EX-10.17,0001169264
000091205702019988,a2074344zex-10_17.txt,2002-05-14,EX-10.17,0001169265
000091205702019988,a2074344zex-10_17.txt,2002-05-14,EX-10.17,0001172204
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001172648
