accession_number,filename,file_date,file_type,cik
000089180401501716,file002.txt,2001-09-24,485BPOS,0000896706
000089180401501714,file002.txt,2001-09-24,485BPOS,0000897416
000089180401501709,file002.txt,2001-09-24,485BPOS,0000888829
000095013601501484,file001.txt,2001-10-02,SB-2/A,0001039646
000092701601503320,ds3.txt,2001-10-25,S-3,0000357020
000095013601501594,file001.txt,2001-10-19,SB-2/A,0001039646
000092701601503290,d10k.txt,2001-10-23,10-K,0000357020
000087562601501438,b485pos.txt,2001-10-29,485BPOS,0001042757
000106083001500118,doc1.txt,2001-10-05,S-4/A,0001005101
000106083001500119,doc1.txt,2001-10-05,S-4/A,0001005101
000101322801500361,r033-54559_01.txt,2001-10-31,485BPOS,0000910856
000101322801500360,r033-60904_01.txt,2001-10-31,485BPOS,0000900502
000091205701535009,a2060669z424b1.txt,2001-10-10,424B1,0001133505
000091205701534816,a2060669z424b1.txt,2001-10-09,424B1,0001133505
000089180401501950,file002.txt,2001-10-25,485BPOS,0000853012
000089180401501954,file002.txt,2001-10-25,485BPOS,0000896288
000089180401501972,file002.txt,2001-10-25,485BPOS,0001024819
000089180401501946,file002.txt,2001-10-25,485BPOS,0001024838
000089180401501944,file002.txt,2001-10-25,485BPOS,0000896937
000089180401501952,file002.txt,2001-10-25,485BPOS,0000893010
000089180401501948,file002.txt,2001-10-25,485BPOS,0001024880
000089180401501953,file002.txt,2001-10-25,485BPOS,0000896287
000089180401501932,file002.txt,2001-10-25,485BPOS,0000835718
000089180401501949,file002.txt,2001-10-25,485BPOS,0000892870
000089180401501943,file002.txt,2001-10-25,485BPOS,0000896936
000089180401501963,file002.txt,2001-10-25,485BPOS,0000896404
000089180401501933,file002.txt,2001-10-25,485BPOS,0000891185
000089180401501962,file002.txt,2001-10-25,485BPOS,0000896367
000089180401501947,file002.txt,2001-10-25,485BPOS,0001024878
000089180401501940,file002.txt,2001-10-25,485BPOS,0000896710
000089180401501934,file002.txt,2001-10-25,485BPOS,0000896669
000089180401501935,file002.txt,2001-10-25,485BPOS,0000896670
000089180401501958,file002.txt,2001-10-25,485BPOS,0000896316
000089180401501960,file002.txt,2001-10-25,485BPOS,0000896341
000089180401501955,file002.txt,2001-10-25,485BPOS,0000896290
000089180401501941,file002.txt,2001-10-25,485BPOS,0000896914
000089180401501961,file002.txt,2001-10-25,485BPOS,0000896366
000089180401501936,file002.txt,2001-10-25,485BPOS,0000896671
000089180401501942,file002.txt,2001-10-25,485BPOS,0000896935
000089180401501957,file002.txt,2001-10-25,485BPOS,0000896315
000089180401501939,file002.txt,2001-10-25,485BPOS,0000896709
000089180401501959,file002.txt,2001-10-25,485BPOS,0000896338
000089180401501938,file002.txt,2001-10-25,485BPOS,0000896708
000089180401501956,file002.txt,2001-10-25,485BPOS,0000897390
000089180401501937,file002.txt,2001-10-25,485BPOS,0000896672
000089180401501951,file002.txt,2001-10-25,485BPOS,0000891809
000089322001500813,w54254e485bpos.txt,2001-10-31,485BPOS,0000906236
000089979701500208,exhibit.htm,2001-11-16,EX-10.16,0001090212
000110465901502510,j2012_10qsb.htm,2001-11-08,10QSB,0000004317
000101968701501070,igo_10q-093001.txt,2001-11-13,10-Q,0001073773
000095011701501609,a31607.txt,2001-11-14,10-Q,0001062292
000095015201505893,l91327aex10-1.txt,2001-11-14,EX-10.1,0000886035
000089180401502147,file002.txt,2001-11-26,485BPOS,0000896318
000089180401502144,file002.txt,2001-11-26,485BPOS,0000897391
000089180401502148,file002.txt,2001-11-26,485BPOS,0000896342
000089180401502141,file002.txt,2001-11-26,485BPOS,0001024881
000089180401502139,file002.txt,2001-11-26,485BPOS,0001024821
000089180401502153,file002.txt,2001-11-26,485BPOS,0000896538
000089180401502151,file002.txt,2001-11-26,485BPOS,0000896368
000089180401502138,file002.txt,2001-11-26,485BPOS,0001024820
000089180401502150,file002.txt,2001-11-26,485BPOS,0000896349
000089180401502142,file002.txt,2001-11-26,485BPOS,0000893013
000089180401502135,file002.txt,2001-11-26,485BPOS,0000896938
000089180401502140,file002.txt,2001-11-26,485BPOS,0001024840
000089180401502145,file002.txt,2001-11-26,485BPOS,0000897392
000089180401502126,file002.txt,2001-11-26,485BPOS,0000891186
000089180401502132,file002.txt,2001-11-26,485BPOS,0000896915
000089180401502137,file002.txt,2001-11-26,485BPOS,0000896940
000089180401502152,file002.txt,2001-11-26,485BPOS,0000896369
000089180401502125,file002.txt,2001-11-26,485BPOS,0000891187
000089180401502127,file002.txt,2001-11-26,485BPOS,0000894077
000089180401502143,file002.txt,2001-11-26,485BPOS,0000896291
000089180401502130,file002.txt,2001-11-26,485BPOS,0000896711
000089180401502133,file002.txt,2001-11-26,485BPOS,0000896916
000089180401502136,file002.txt,2001-11-26,485BPOS,0000896939
