accession_number,filename,file_date,file_type,cik
000121390024055260,filename1.htm,2024-06-24,DRS,0001976443
000198773124000008,wti-20240331.htm,2024-05-13,10-Q,0001987731
000119312524110086,d647646dars.pdf,2024-04-24,ARS,0001596532
000114036124036408,ef20030922_ex99-2.htm,2024-08-08,EX-99.2,0001912847
000095015724001551,ex99-2.htm,2024-11-20,EX-99.2,0001386716
000155837024007202,asc-20240508xex99d1.htm,2024-05-08,EX-99.1,0001577437
000121390024109395,ea0224744-f3_jeffsbrands.htm,2024-12-16,F-3,0001885408
000110465924039663,tm244477d2_ars.pdf,2024-03-27,ARS,0001693256
000121390024021051,ea0201216-f3_beamrimag.htm,2024-03-08,F-3,0001899005
000121390024045958,ea0206692-424b3_neurosense.htm,2024-05-22,424B3,0001875091
000121390024110177,ea0225195-f3_jeffsbrands.htm,2024-12-18,F-3,0001885408
000095015724000171,ex99-1.htm,2024-02-13,EX-99.1,0001386716
000117891324003893,zk2432420.htm,2024-12-02,POS AM,0001534248
000155837024001437,wttr-20231231x10k.htm,2024-02-21,10-K,0001693256
000121390024015342,ea0200175-f3_jeffsbrands.htm,2024-02-20,F-3,0001885408
000117891324000782,zk2431068.htm,2024-03-01,F-3,0001574565
000155837024014644,pahc-20240930x10q.htm,2024-11-06,10-Q,0001069899
000155837024001198,asc-20240215xex99d1.htm,2024-02-15,EX-99.1,0001577437
000155837024010426,asc-20240731xex99d1.htm,2024-07-31,EX-99.1,0001577437
000110465924061971,tm2413073d3_424b7.htm,2024-05-15,424B7,0001679049
000145493824000074,outbrain-20240331.htm,2024-05-09,10-Q,0001454938
000121390024076706,ea0213161-posam_mobilicom.htm,2024-09-09,POS AM,0001898643
000110465924066663,tm2413073d4_424b7.htm,2024-05-30,424B7,0001679049
000121390024075083,ea0212120-posam2_parazero.htm,2024-09-03,POS AM,0001916241
000110465924055743,tm2413073d1_424b7.htm,2024-05-01,424B7,0001679049
000121390024080822,ea0215338-posam_wearable.htm,2024-09-23,POS AM,0001887673
000110465924059354,tm2413073d2_424b7.htm,2024-05-09,424B7,0001679049
000182072124000049,arry-20240331.htm,2024-05-09,10-Q,0001820721
000121390024052520,ea0207818-f1_wearable.htm,2024-06-14,F-1,0001887673
000121390024069173,ea0211159-10q_actelisnet.htm,2024-08-14,10-Q,0001141284
000119312524210416,d837964dex993.htm,2024-08-30,EX-99.3,0001328919
000117891324003107,zk2432041.htm,2024-09-20,F-3,0001801834
