accession_number,filename,file_date,file_type,cik,display_name
000120919105062488,c00717poacrs.txt,2005-12-09,EX-24,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919105062486,c00717poajds.txt,2005-12-09,EX-24,0001201492,SWIFT JOHN D  (CIK 0001201492)
000120919105062486,c00717poajds.txt,2005-12-09,EX-24,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919105064557,c00902_poa.htm,2005-12-20,EX-24,0001331802,Anderson Ray Benjamin M  (CIK 0001331802)
000120919105064557,c00902_poa.htm,2005-12-20,EX-24,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000114420406006986,v035362_s1.htm,2006-02-17,S-1,0001109925,WINTEGRA INC  (CIK 0001109925)
000095013706002812,c03160exv10w2.txt,2006-03-09,EX-10.2,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000095013406004237,d33630e425.htm,2006-03-03,425,0000710752,SABINE ROYALTY TRUST  (SBR)  (CIK 0000710752)
000095013406004237,d33630e425.htm,2006-03-03,425,0001330903,Sabine Production Partners LP  (CIK 0001330903)
000112528206001374,b412046_424b3.txt,2006-03-01,424B3,0001019561,KENMAR GLOBAL TRUST  (CIK 0001019561)
000110465906015677,a05-20927_20ncsr.htm,2006-03-10,N-CSR,0001162780,UM INVESTMENT TRUST  (CIK 0001162780)
000095013606001792,file001.htm,2006-03-09,20-F,0001270484,LIPMAN ELECTRONIC ENGINEERING LTD  (CIK 0001270484)
000104746906003113,a2166924zn-csr.txt,2006-03-09,N-CSR,0000865277,FIRST ISRAEL FUND INC  (CIK 0000865277)
000117891306000545,zk62365.htm,2006-03-31,424B3,0001021991,TOP IMAGE SYSTEMS LTD  (CIK 0001021991)
000117891306000512,zk62324.htm,2006-03-28,20-F,0001021991,TOP IMAGE SYSTEMS LTD  (CIK 0001021991)
000117891306000442,zk62287.htm,2006-03-15,20-F,0001021620,ORCKIT COMMUNICATIONS LTD  (CIK 0001021620)
000117891306000539,zk62339.htm,2006-03-30,20-F,0000893821,ATTUNITY LTD  (CIK 0000893821)
000117891306000527,zk62289.htm,2006-03-30,20-F,0001041844,RIT TECHNOLOGIES LTD  (CIK 0001041844)
000117891306000553,zk62366.txt,2006-03-31,20-F,0000761238,RADA ELECTRONIC INDUSTRIES LTD  (CIK 0000761238)
000093506906000771,burnhamncsr.txt,2006-03-09,N-CSR,0000030126,BURNHAM INVESTORS TRUST  (CIK 0000030126)
000114420406012288,v038912_20-f.htm,2006-03-30,20-F,0001016838,RADCOM LTD  (RDCM)  (CIK 0001016838)
