year,month,women_total_stock,men_total_stock,total_stock,women_percent
2012,6,202596265.2523,16976839741.2143,17179436006.4666,1.1792952060593822
2012,7,266322657.4465,4818748966.1726,5085071623.6191,5.237343289512122
2012,8,2211622628.5832,10220837317.1141,12432459945.6973,17.789099166562057
2012,9,1166134216.7545,5564557561.8359995,6730691778.5905,17.325622017989726
2012,10,1121275558.7651,9102633152.7336,10223908711.498701,10.967190635260813
2012,11,234810415.8973,12023826102.7529,12258636518.6502,1.9154692737651628
2012,12,206541007.2671,5954434343.1201,6160975350.3872,3.352407622506061
2013,1,416101258.9864,18150688131.131298,18566789390.1177,2.2411050733837308
2013,2,153522066.8187,16704133566.6401,16857655633.458801,0.9106964227813023
2013,3,1179958201.563,7209202594.3786,8389160795.9416,14.06527101177778
2013,4,208859627.3933,5797654873.4801,6006514500.8734,3.477218399504904
2013,5,241689061.0706,6195338856.286,6437027917.3566,3.7546685236352197
2013,6,301725186.889,9427160989.4331,9728886176.3221,3.101333301887431
2013,7,140670331.6768,6529098785.9072,6669769117.584,2.1090734806088047
2013,8,274313114.6146,5494145399.9093,5768458514.5239,4.755397198817168
2013,9,173712309.7167,4063827532.0549,4237539841.7716002,4.0993669960180386
2013,10,185957601.7564,8581821362.8855,8767778964.6419,2.1209202753207754
2013,12,219078835.4877,6275796738.6165,6494875574.1042,3.373102886854245
2014,1,234309694.5772,8326012190.3704,8560321884.9476,2.737159860649729
2014,2,153664326.5901,6917195910.4529,7070860237.043,2.1732055427298573
2014,3,280884329.8729,10426024196.4312,10706908526.3041,2.623393383653554
2014,4,157762034.9551,18329265936.1315,18487027971.0866,0.8533661289518096
2014,5,233049741.8767,8310522504.3405,8543572246.2172,2.727778675715962
2014,6,225103456.3779,6907562472.0441,7132665928.422,3.1559512058586057
2014,7,127634270.0319,6181195508.5971,6308829778.629001,2.023105306538113
2014,8,184941798.9442,8154563092.7137,8339504891.6579,2.2176592177456405
